label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
trip,SP,Describes the trip the vehicle corresponding to this observation is making. SameAs: 'trip' field from GTFS Realtime message-TripUpdate (https://developers.google.com/transit/gtfs-realtime/reference#message-tripupdate),"TransitManagement, TripUpdate",TripDescriptor,,,1,0,GTFS:TripUpdate
vehicleDesc,SP,Describes the additional information of the vehicle corresponding to this observation. SameAs: 'vehicle' field from GTFS Realtime message-TripUpdate (https://developers.google.com/transit/gtfs-realtime/reference#message-tripupdate),"TransitManagement, TripUpdate",VehicleDescriptor,,,1,0,GTFS:TripUpdate
timestamp,TXP,Describes the date-time at which the position of the vehicle corresponding to this observation was updated. SameAs: 'timestamp' field from GTFS Realtime message-TripUpdate (https://developers.google.com/transit/gtfs-realtime/reference#message-tripupdate),"TransitManagement, TripUpdate","Text, ValueDescriptor",,,1,0,GTFS:TripUpdate
stop_time_update,SP,"Updated sorted stop sequence for the trip made by the vehicle corresponding to this observation, not to be considered if schedule_realtionship is ""CANCELED"". SameAs: 'stop_time_update' field from GTFS Realtime message-TripUpdate (https://developers.google.com/transit/gtfs-realtime/reference#message-tripupdate)","TransitManagement, TripUpdate",StopTimeUpdate,,,0,0,GTFS:TripUpdate
