label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
entity_id,TXP,Feed unique ID for the entity coressponding to this observation.SameAs:'entity_id' field from GTFS Realtime message-FeedEntity(https://developers.google.com/transit/gtfs-realtime/reference#message-feedentity),"TransitManagement, FeedEntity","Text, ValueDescriptor",,,0,0,GTFS:FeedEntity
vehicle_position,SP,Describes the realtime position of the vehicle corresponding to this observation. SameAs:'vehicle' field from GTFS Realtime message-FeedEntity(https://developers.google.com/transit/gtfs-realtime/reference#message-feedentity),"TransitManagement, FeedEntity",VehiclePosition,,,0,0,GTFS:FeedEntity
trip_update,SP,"Describes the trip information like delay, departures, etc., for a trip made by the vehicle corresponding to this observation.SameAs:'trip_update' field from GTFS Realtime message-FeedEntity(https://developers.google.com/transit/gtfs-realtime/reference#message-feedentity)","TransitManagement, FeedEntity",TripUpdate,,,0,0,GTFS:FeedEntity
