label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
vehicle_id,TXP,"Unique ID assigned to the vehicle corresponding to this observation, used in internal system identification. SameAs: 'id' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor)","TransitManagement, VehicleDescriptor","Text, ValueDescriptor",,,0,0,GTFS:VehicleDescriptor
vehicle_label,TXP,"User visible label, i.e., something that must be shown to the passenger to help identify the correct vehicle. SameAs: 'label' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor)","TransitManagement, VehicleDescriptor","Text, ValueDescriptor",,,0,0,GTFS:VehicleDescriptor
license_plate,TXP,Gives the License Plate number of the vehice. SameAs: 'license_plate' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor),"TransitManagement, WmgmtBin, WmgmtVehicle, VehicleDescriptor","Text, ValueDescriptor",,,0,0,GTFS:VehicleDescriptor
